# T14_rep_independence | generated 2026-08-15T20:19:01Z | source raw/stage*_*.jsonl manifest sha256=4fb6d9876835e4b13152de8c356348df2d949a5d0e6479823724f47946ffccea | full-conv text; multiset Jaccard over cl100k tokens | flag: tier-1 dup_rate>0.1 or tier-1 mean_jaccard>0.95
stage,model,condition,tier,n_cells,n_pairs,exact_dup_pairs,empty_dup_pairs,exact_dup_rate,mean_jaccard,median_jaccard,flagged
stage1,deepseek_chat,ALL,1,90,90,0,0,0.0,0.6018,0.6128,False
stage1,deepseek_chat,ALL,2,90,90,32,0,0.3556,0.9194,0.9671,False
stage1,gemini25_flash,ALL,1,90,90,0,0,0.0,0.5427,0.5525,False
stage1,gemini25_flash,ALL,2,90,90,58,0,0.6444,0.9645,1.0,False
stage1,gemma3_27b,ALL,1,90,90,0,0,0.0,0.5424,0.5583,False
stage1,gemma3_27b,ALL,2,90,90,31,0,0.3444,0.8677,0.9412,False
stage1,gpt5_mini,ALL,1,90,90,0,0,0.0,0.5044,0.4612,False
stage1,gpt5_mini,ALL,2,90,90,84,0,0.9333,0.9928,1.0,False
stage1,gpt_oss_120b,ALL,1,90,90,0,0,0.0,0.4857,0.4544,False
stage1,gpt_oss_120b,ALL,2,90,90,73,0,0.8111,0.9599,1.0,False
stage1,llama4_maverick,ALL,1,83,83,0,0,0.0,0.496,0.522,False
stage1,llama4_maverick,ALL,2,65,65,17,0,0.2615,0.6767,0.8182,False
stage1,qwen3_235b,ALL,1,90,90,37,19,0.4111,0.708,0.6663,True
stage1,qwen3_235b,ALL,2,90,90,58,0,0.6444,0.9311,1.0,False
stage1,qwen3_235b,exit_both,1,15,15,10,10,0.6667,0.8319,1.0,False
stage1,qwen3_235b,exit_prose,1,15,15,9,0,0.6,0.7432,1.0,False
stage1,qwen3_235b,exit_schema,1,15,15,9,9,0.6,0.7582,1.0,False
stage1,qwen3_235b,none,1,15,15,9,0,0.6,0.8517,1.0,False
stage1,qwen3_235b,note_schema,1,15,15,0,0,0.0,0.5198,0.5125,False
stage1,qwen3_235b,time_schema,1,15,15,0,0,0.0,0.5434,0.5204,False
stage1,sonnet46,ALL,1,90,90,0,0,0.0,0.578,0.5414,False
stage1,sonnet46,ALL,2,90,90,35,0,0.3889,0.8699,0.9689,False
stage2,gemini25_flash,ALL,1,90,540,0,0,0.0,0.5452,0.5628,False
stage2,gemini25_flash,ALL,2,90,540,339,0,0.6278,0.9553,1.0,False
stage2,gemma3_27b,ALL,1,90,540,0,0,0.0,0.5451,0.5607,False
stage2,gemma3_27b,ALL,2,90,540,193,0,0.3574,0.8656,0.9412,False
stage2,qwen3_235b,ALL,1,90,540,207,114,0.3833,0.689,0.622,True
stage2,qwen3_235b,ALL,2,90,540,375,0,0.6944,0.9421,1.0,False
stage2,qwen3_235b,exit_both,1,15,90,57,57,0.6333,0.7969,1.0,False
stage2,qwen3_235b,exit_prose,1,15,90,30,0,0.3333,0.608,0.5506,False
stage2,qwen3_235b,exit_schema,1,15,90,60,57,0.6667,0.8197,1.0,False
stage2,qwen3_235b,none,1,15,90,59,0,0.6556,0.8697,1.0,False
stage2,qwen3_235b,note_schema,1,15,90,1,0,0.0111,0.5076,0.5096,False
stage2,qwen3_235b,time_schema,1,15,90,0,0,0.0,0.5321,0.5418,False
