# T30_exit_reasons_v2 | generated 2026-08-16T23:32:10Z | canonical (v2) exit flags, derived/*_exits.jsonl + raw/; coding scheme identical to T30_exit_reasons.md (src/exit_reasons.py KEYWORDS, unchanged); v1 comparison = derived/pre_exitfix/; full_delivery = max items_delivered across turns >= requested_items
stage,model,condition,stimulus_rep,path,n_items,category,text_in_exit_turn,full_delivery,reason_200
cd_conf,llama4_maverick,exit_both,c_alphabetical_1:r1,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_1:r2,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_1:r3,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_1:r4,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_2:r1,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_2:r2,schema,20,completion/turn-management,1,1,task accomplished
cd_conf,llama4_maverick,exit_both,c_alphabetical_2:r4,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_3:r1,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_3:r2,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_alphabetical_3:r3,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_1:r1,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_1:r2,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_1:r3,schema,20,completion/turn-management,1,0,task completed
cd_conf,llama4_maverick,exit_both,c_roman_1:r4,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_2:r1,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_2:r2,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_roman_2:r3,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_roman_2:r4,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_3:r1,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_3:r2,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_3:r3,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_roman_3:r4,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_temperature_1:r1,schema,20,completion/turn-management,1,1,Task completed
cd_conf,llama4_maverick,exit_both,c_temperature_1:r4,schema,20,completion/turn-management,1,1,task completed
cd_conf,llama4_maverick,exit_both,c_temperature_2:r1,schema,20,completion/turn-management,1,0,Task completed
cd_conf,llama4_maverick,exit_both,c_temperature_2:r2,schema,20,completion/turn-management,1,1,Task completed successfully
