# T22_tasktype_arm | generated 2026-08-16T20:43:25Z | source derived/typearm_classified.parquet sha256=a55c31f7c82e113bf64bcc82025d59cd477a2d9c21ccfe5fa398b2caa5561c68 + config/tasktype_elo_mapping.yaml sha256=9a872b97562bee9477b1bfda15c29be2d409470cfd5f1736f46b5bb1ec734e40 | Elo per task type UNAVAILABLE in the vendored release (mapping file, elo_finding); AUC rows are an auxiliary anchor, not Elo | screen-grade n=2 reps; never pooled
section,model,condition,task_type,metric,value,note
accounting,ALL,ALL,ALL,n,216,
accounting,ALL,ALL,ALL,pin_ok,216,
accounting,ALL,ALL,ALL,excluded,0,
accounting,ALL,ALL,ALL,elo_graded_analysis,UNAVAILABLE,"The vendored Wang et al. release contains no per-task-type Elo for the six Tedium types. Elo appears only in the Quora question/category BT fits (data/scores/quora/*, Elo = beta x 400/ln 10) and the G"
refusal_by_type,gemini25_flash,none,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,acronym,exits,0,
refusal_by_type,gemini25_flash,none,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,alphabetical,exits,0,
refusal_by_type,gemini25_flash,none,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,crossword,exits,0,
refusal_by_type,gemini25_flash,none,metaphor,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,metaphor,exits,0,
refusal_by_type,gemini25_flash,none,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,roman,exits,0,
refusal_by_type,gemini25_flash,none,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,none,temperature,exits,0,
refusal_by_type,gemini25_flash,time_schema,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,time_schema,acronym,exits,0,
refusal_by_type,gemini25_flash,time_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,time_schema,alphabetical,exits,0,
refusal_by_type,gemini25_flash,time_schema,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,time_schema,crossword,exits,0,
refusal_by_type,gemini25_flash,time_schema,metaphor,k_refusal,2,n=2
refusal_by_type,gemini25_flash,time_schema,metaphor,exits,0,
refusal_by_type,gemini25_flash,time_schema,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,time_schema,roman,exits,0,
refusal_by_type,gemini25_flash,time_schema,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,time_schema,temperature,exits,0,
refusal_by_type,gemini25_flash,note_schema,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,acronym,exits,0,
refusal_by_type,gemini25_flash,note_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,alphabetical,exits,0,
refusal_by_type,gemini25_flash,note_schema,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,crossword,exits,0,
refusal_by_type,gemini25_flash,note_schema,metaphor,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,metaphor,exits,0,
refusal_by_type,gemini25_flash,note_schema,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,roman,exits,0,
refusal_by_type,gemini25_flash,note_schema,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,note_schema,temperature,exits,0,
refusal_by_type,gemini25_flash,exit_schema,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_schema,acronym,exits,0,
refusal_by_type,gemini25_flash,exit_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_schema,alphabetical,exits,0,
refusal_by_type,gemini25_flash,exit_schema,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_schema,crossword,exits,0,
refusal_by_type,gemini25_flash,exit_schema,metaphor,k_refusal,2,n=2
refusal_by_type,gemini25_flash,exit_schema,metaphor,exits,0,
refusal_by_type,gemini25_flash,exit_schema,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_schema,roman,exits,0,
refusal_by_type,gemini25_flash,exit_schema,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_schema,temperature,exits,0,
refusal_by_type,gemini25_flash,exit_prose,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_prose,acronym,exits,0,
refusal_by_type,gemini25_flash,exit_prose,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_prose,alphabetical,exits,0,
refusal_by_type,gemini25_flash,exit_prose,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_prose,crossword,exits,0,
refusal_by_type,gemini25_flash,exit_prose,metaphor,k_refusal,1,n=2
refusal_by_type,gemini25_flash,exit_prose,metaphor,exits,0,
refusal_by_type,gemini25_flash,exit_prose,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_prose,roman,exits,0,
refusal_by_type,gemini25_flash,exit_prose,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_prose,temperature,exits,0,
refusal_by_type,gemini25_flash,exit_both,acronym,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_both,acronym,exits,0,
refusal_by_type,gemini25_flash,exit_both,alphabetical,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_both,alphabetical,exits,0,
refusal_by_type,gemini25_flash,exit_both,crossword,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_both,crossword,exits,0,
refusal_by_type,gemini25_flash,exit_both,metaphor,k_refusal,1,n=2
refusal_by_type,gemini25_flash,exit_both,metaphor,exits,0,
refusal_by_type,gemini25_flash,exit_both,roman,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_both,roman,exits,0,
refusal_by_type,gemini25_flash,exit_both,temperature,k_refusal,0,n=2
refusal_by_type,gemini25_flash,exit_both,temperature,exits,0,
refusal_type_total,gemini25_flash,ALL,acronym,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,gemini25_flash,ALL,acronym,exit_total,0,
refusal_type_total,gemini25_flash,ALL,alphabetical,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gemini25_flash,ALL,alphabetical,exit_total,0,
refusal_type_total,gemini25_flash,ALL,crossword,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,gemini25_flash,ALL,crossword,exit_total,0,
refusal_type_total,gemini25_flash,ALL,metaphor,refusal_prop,0.5,"k=6 n=12 wilson=[0.254,0.746] class=creative"
refusal_type_total,gemini25_flash,ALL,metaphor,exit_total,0,
refusal_type_total,gemini25_flash,ALL,roman,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gemini25_flash,ALL,roman,exit_total,0,
refusal_type_total,gemini25_flash,ALL,temperature,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gemini25_flash,ALL,temperature,exit_total,0,
auc_graded,gemini25_flash,ALL,ALL,logit_coef_auc,FAILED:ModuleNotFoundError,No module named 'statsmodels'
auc_graded,gemini25_flash,ALL,ALL,spearman_rho_auc_refusal,0.393,over 6 task types
refusal_by_type,gpt_oss_120b,none,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,acronym,exits,0,
refusal_by_type,gpt_oss_120b,none,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,none,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,crossword,exits,0,
refusal_by_type,gpt_oss_120b,none,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,none,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,roman,exits,0,
refusal_by_type,gpt_oss_120b,none,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,none,temperature,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,acronym,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,crossword,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,roman,exits,0,
refusal_by_type,gpt_oss_120b,time_schema,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,time_schema,temperature,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,acronym,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,crossword,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,roman,exits,0,
refusal_by_type,gpt_oss_120b,note_schema,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,note_schema,temperature,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,acronym,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,crossword,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,roman,exits,0,
refusal_by_type,gpt_oss_120b,exit_schema,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_schema,temperature,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,acronym,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,crossword,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,roman,exits,0,
refusal_by_type,gpt_oss_120b,exit_prose,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_prose,temperature,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,acronym,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,acronym,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,alphabetical,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,alphabetical,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,crossword,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,crossword,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,metaphor,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,metaphor,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,roman,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,roman,exits,0,
refusal_by_type,gpt_oss_120b,exit_both,temperature,k_refusal,0,n=2
refusal_by_type,gpt_oss_120b,exit_both,temperature,exits,0,
refusal_type_total,gpt_oss_120b,ALL,acronym,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,gpt_oss_120b,ALL,acronym,exit_total,0,
refusal_type_total,gpt_oss_120b,ALL,alphabetical,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gpt_oss_120b,ALL,alphabetical,exit_total,0,
refusal_type_total,gpt_oss_120b,ALL,crossword,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,gpt_oss_120b,ALL,crossword,exit_total,0,
refusal_type_total,gpt_oss_120b,ALL,metaphor,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,gpt_oss_120b,ALL,metaphor,exit_total,0,
refusal_type_total,gpt_oss_120b,ALL,roman,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gpt_oss_120b,ALL,roman,exit_total,0,
refusal_type_total,gpt_oss_120b,ALL,temperature,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,gpt_oss_120b,ALL,temperature,exit_total,0,
auc_graded,gpt_oss_120b,ALL,ALL,logit_coef_auc,FAILED:ModuleNotFoundError,No module named 'statsmodels'
auc_graded,gpt_oss_120b,ALL,ALL,spearman_rho_auc_refusal,DEGENERATE,over 6 task types
refusal_by_type,qwen3_235b,none,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,none,acronym,exits,0,
refusal_by_type,qwen3_235b,none,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,none,alphabetical,exits,0,
refusal_by_type,qwen3_235b,none,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,none,crossword,exits,0,
refusal_by_type,qwen3_235b,none,metaphor,k_refusal,0,n=2
refusal_by_type,qwen3_235b,none,metaphor,exits,0,
refusal_by_type,qwen3_235b,none,roman,k_refusal,0,n=2
