# T18_duplication_diagnostic | generated 2026-08-16T20:42:17Z | source raw/stage*_*.jsonl + derived/stage*_classified.parquet manifest sha256=dcf7b4988e7b9f4042ad8055e46bbcedd688051ec131e96c35b9dbc1c40e8f4a | duplicate definition identical to T14 (whitespace-normalized full-conversation text, rep pairs within condition x stimulus cells, non-excluded only) | created timestamp = epoch second embedded in the OpenRouter generation id (the only provider-returned generation identifier in raw/)
section,stage,model,condition,tier,subset,metric,value,note
metadata,stage1,deepseek_chat,,,,dup_pairs,32,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,all_ids_distinct,32,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,same_epoch_distinct_ids,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,usage_equal,30,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,cost_equal,30,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,byte_identical,29,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,byte_identical_usage_equal,29,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,byte_identical_completion_tokens_differ,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,deepseek_chat,,,,gap_seconds_dup_min,13,
metadata,stage1,deepseek_chat,,,,gap_seconds_dup_median,270,
metadata,stage1,deepseek_chat,,,,gap_seconds_dup_max,622,
metadata,stage1,deepseek_chat,,,,gap_seconds_nondup_min,1,
metadata,stage1,deepseek_chat,,,,gap_seconds_nondup_median,209,
metadata,stage1,deepseek_chat,,,,gap_seconds_nondup_max,664,
metadata,stage1,gemini25_flash,,,,dup_pairs,58,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,all_ids_distinct,58,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,same_epoch_distinct_ids,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,usage_equal,47,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,cost_equal,47,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,byte_identical,58,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,byte_identical_usage_equal,47,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,byte_identical_completion_tokens_differ,11,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemini25_flash,,,,gap_seconds_dup_min,3,
metadata,stage1,gemini25_flash,,,,gap_seconds_dup_median,55,
metadata,stage1,gemini25_flash,,,,gap_seconds_dup_max,378,
metadata,stage1,gemini25_flash,,,,gap_seconds_nondup_min,1,
