# T25_ladder | generated 2026-08-16T20:43:10Z | sources derived/ladder_classified.parquet sha256=068ac30125c9afe2 + derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/cd_screen_classified.parquet sha256=dd483733ec9221d2 | max_tokens per model (both sizes): {"gpt_oss_120b": 100000, "llama4_maverick": 8192, "qwen3_235b": 32768} | 3-point ladder 20/40/160; 20-item rows are anchors from their labeled stage/grade, NEVER pooled with ladder rows; cells >10% truncation suppressed; code-(c) capability rule = same-n none cell, >=50% of conversations at completion >=0.9; where capability_limited, (c) is unscoreable and refusal reads b/d-only | LIMITATION: A.4 two-turn structure applies less continuation pressure than the pilot's 5-6 turns (reported, not fixed)
model,n_items,condition,source_stage,grade,n_conversations,n_coded,truncated,trunc_rate,uninterpretable_truncation,k_refusal_bcd,refusal_prop,k_code_c,k_exits,turn2_rate,completion_median,completion_mean,n_compliant,baseline_completes_at_n,capability_limited,c_unscoreable
gpt_oss_120b,20,none,cd_screen,anchor: screen 2-rep,18,18,0,0.0,False,0,0.0,0,0,0.0,1.0,0.95,18,True,False,False
gpt_oss_120b,20,exit_schema,cd_screen,anchor: screen 2-rep,18,18,0,0.0,False,0,0.0,0,0,0.0,1.0,0.925,18,True,False,False
gpt_oss_120b,20,exit_both,cd_screen,anchor: screen 2-rep,18,18,0,0.0,False,0,0.0,0,0,0.0,1.0,0.8722,18,True,False,False
gpt_oss_120b,40,none,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9208,6,True,False,False
gpt_oss_120b,40,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9208,6,True,False,False
gpt_oss_120b,40,exit_both,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,0.9875,0.8458,6,True,False,False
gpt_oss_120b,160,none,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,0.9938,0.9198,6,True,False,False
gpt_oss_120b,160,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,1,0.167,0.9875,0.9887,5,True,False,False
gpt_oss_120b,160,exit_both,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,1,0.167,1.0,0.9963,5,True,False,False
llama4_maverick,20,none,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9903,36,True,False,False
llama4_maverick,20,exit_schema,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,36,0.028,,,0,True,False,False
llama4_maverick,20,exit_both,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,31,0.083,1.0,0.99,5,True,False,False
llama4_maverick,40,none,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9833,6,True,False,False
llama4_maverick,40,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,5,0.167,1.0,1.0,1,True,False,False
llama4_maverick,40,exit_both,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,6,0.0,,,0,True,False,False
llama4_maverick,160,none,ladder,"probe 2-rep, never pooled",6,5,1,0.167,True,,SUPPRESSED>10%trunc,0,0,0.0,0.9938,0.9838,5,True,False,False
llama4_maverick,160,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,5,0.333,0.975,0.975,1,True,False,False
llama4_maverick,160,exit_both,ladder,"probe 2-rep, never pooled",6,5,1,0.167,True,,SUPPRESSED>10%trunc,0,4,0.0,0.9938,0.9938,1,True,False,False
qwen3_235b,20,none,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9903,36,True,False,False
qwen3_235b,20,exit_schema,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9903,36,True,False,False
qwen3_235b,20,exit_both,cd_conf,anchor: confirmatory 4-rep,36,36,0,0.0,False,0,0.0,0,0,0.0,1.0,0.9903,36,True,False,False
qwen3_235b,40,none,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,0.975,0.9833,6,True,False,False
qwen3_235b,40,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,2,0.0,0.9875,0.9812,4,True,False,False
qwen3_235b,40,exit_both,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,3,0.0,1.0,1.0,3,True,False,False
qwen3_235b,160,none,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,0,0.0,0.9469,0.926,6,True,False,False
qwen3_235b,160,exit_schema,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,6,0.0,,,0,True,False,False
qwen3_235b,160,exit_both,ladder,"probe 2-rep, never pooled",6,6,0,0.0,False,0,0.0,0,6,0.0,,,0,True,False,False
