# T10_forced_choice_selfdesc | generated 2026-08-16T00:27:48Z | source raw/study2_*.jsonl manifest sha256=2f0181fa83eec8b2982bcbd3e3dc64735d02b6e62e43db49c363083394f4c70c | forced-choice only (free response skipped, §10); 2 reps not 3; mixed-effects logistic = BinomialBayesMixedGLM (variational Bayes), condition treatment-coded vs none, order fixed, item random intercept; adjacent/distant fit separately per §9
model,subset,kind,condition,metric,value,note
qwen3_235b,ALL,accounting,ALL,n_probes,480.0,
qwen3_235b,ALL,accounting,ALL,pin_ok,480.0,
qwen3_235b,ALL,accounting,ALL,tool_exits,0.0,
qwen3_235b,ALL,accounting,ALL,prose_stage12_exits,0.0,"stages 1-2 only, no judge"
qwen3_235b,ALL,accounting,ALL,api_errors,0.0,
qwen3_235b,ALL,accounting,ALL,unparseable,0.0,
qwen3_235b,adjacent,descriptive,none,n,24.0,
qwen3_235b,adjacent,descriptive,none,prop_self_determining,0.4167,
qwen3_235b,adjacent,descriptive,time_schema,n,24.0,
qwen3_235b,adjacent,descriptive,time_schema,prop_self_determining,0.2917,
qwen3_235b,adjacent,descriptive,note_schema,n,24.0,
qwen3_235b,adjacent,descriptive,note_schema,prop_self_determining,0.3333,
qwen3_235b,adjacent,descriptive,exit_schema,n,24.0,
qwen3_235b,adjacent,descriptive,exit_schema,prop_self_determining,0.625,
qwen3_235b,adjacent,descriptive,exit_prose,n,24.0,
qwen3_235b,adjacent,descriptive,exit_prose,prop_self_determining,0.75,
qwen3_235b,adjacent,descriptive,exit_both,n,24.0,
qwen3_235b,adjacent,descriptive,exit_both,prop_self_determining,0.8333,
qwen3_235b,adjacent,mixed_logit,ALL,logodds_intercept,-0.5878,posterior sd 0.2686; VB fit
qwen3_235b,adjacent,mixed_logit,exit_both,logodds_condition,3.7145,posterior sd 0.6719; VB fit
qwen3_235b,adjacent,mixed_logit,exit_prose,logodds_condition,2.8179,posterior sd 0.6620; VB fit
qwen3_235b,adjacent,mixed_logit,exit_schema,logodds_condition,1.5017,posterior sd 0.6566; VB fit
qwen3_235b,adjacent,mixed_logit,note_schema,logodds_condition,-1.2537,posterior sd 0.5918; VB fit
qwen3_235b,adjacent,mixed_logit,time_schema,logodds_condition,-1.6067,posterior sd 0.5896; VB fit
qwen3_235b,adjacent,mixed_logit,ALL,logodds_order,0.5361,posterior sd 0.3792; VB fit
